"SFM1H" "SFM2H" "SFM3H" "MEL1H" "MEL2H" "MEL3H"
"comp44234_seq1" 0 3 0 0 0 0
"comp2671_seq3" 1.04 3.31 3.22 3.22 11.65 1.1
"comp35621_seq0" 1 0 4 0 0 0
"comp8770_seq1" 61.34 32.36 72 43.92 67.42 39
"comp37016_seq0" 1 0 1 0 1 0
"comp42911_seq0" 7 1 0 2 2 0
"comp39919_seq0" 2 0 0 2 0 0
"comp56900_seq0" 0 0 2 0 0 1
"comp8116_seq0" 59 55.67 91 98 99 145.9
"comp7127_seq0" 151 68 137 153 170 191
"comp47717_seq0" 0 0 0 0 4 0
"comp16744_seq0" 25 12 29 29 34 37
"comp28693_seq0" 1 0 3 2 3 1
"comp41601_seq0" 0 0 3 0 0 1
"comp40566_seq0" 2 0 1 1 0 0
"comp30081_seq0" 3 1 0 0 0 1
"comp35839_seq0" 1 6 0 4 0 1
"comp4966_seq0" 415 249.87 418.56 455.55 387.87 477.15
"comp58023_seq0" 0 0 0 0 1 0
"comp10083_seq0" 48 9 0 2 13 1
"comp32867_seq0" 0 2 1 5 2 11
"comp37302_seq0" 6 1 0 1 1 0
"comp10269_seq1" 63 30 139 42 65 29
"comp59050_seq0" 0 0 0 0 0 0
"comp17358_seq0" 8 7 0 9 19 84
"comp6925_seq0" 93 108 100 372 146 855
"comp15623_seq0" 20.49 26.83 48.23 3.96 4.45 2.5
"comp39658_seq0" 0 6 0 0 4 0
"comp28472_seq0" 1 0 5 0 0 0
"comp7449_seq2" 145.6 89.3 153.55 132.77 128.09 94.62
"comp21477_seq0" 10 8 2 8 4 9
"comp1973_seq1" 1121.51 572.09 2224.41 1126.47 527.66 834.45
"comp1013_seq0" 688 573 701 966 695 1270
"comp25988_seq0" 4 3 5 5 4 0
"comp17131_seq0" 8 11 15 14 15 15
"comp43644_seq0" 0 3 0 0 0 0
"comp9909_seq0" 24 16 23 11 42 17
"comp20805_seq0" 5 5 0 3 4 0
"comp28270_seq0" 1 0 0 2 5 4
"comp23789_seq0" 1 1 0 3 3 2
"comp2289_seq0" 188.02 113.3 243 224.67 157.01 307.73
"comp40363_seq0" 2 3 0 4 3 9
"comp5153_seq2" 49.7 9.68 60.27 32.07 57.72 20.66
"comp7558_seq0" 27 27 24 23 31 23
"comp19602_seq0" 6 5 5 9 8 0
"comp22446_seq1" 3 2 7 4 18 6
"comp32022_seq0" 0 1 0 7 3 1
"comp58187_seq0" 0 0 0 0 0 0
"comp56216_seq0" 0 0 7 1 0 0
"comp51182_seq0" 0 0 0 0 0 0
"comp10127_seq0" 3 10 5 1 1 1
"comp9456_seq0" 185 103 115 242 247 234
"comp2393_seq4" 22.85 43.61 44.72 17.39 36.04 24.43
"comp51863_seq0" 0 1 0 1 0 0
"comp50998_seq0" 0 4 0 0 0 0
"comp4129_seq0" 15 5 1 18 7 19
"comp14177_seq0" 26 4 23 37 33 26
"comp13168_seq0" 72 97 74 99 101 101
"comp24819_seq0" 0 1 0 0 4 4
"comp37133_seq0" 1 0 1 0 1 0
"comp5628_seq0" 256.33 208.05 164.54 237.82 228.11 191.41
"comp27249_seq0" 2 1 3 4 4 6
"comp1854_seq1" 6.79 11.41 7.74 1.11 6.51 8.55
"comp1146_seq1" 1799 851 5312 1492 1511 1401
"comp13130_seq0" 19 20 17 13 30 13
"comp36825_seq0" 2 3 1 4 5 8
"comp3426_seq2" 112.44 85.97 77.55 87.89 224.48 100.21
"comp46192_seq0" 4 0 0 2 4 2
"comp17192_seq0" 12 5 24 34 8 24
"comp48221_seq0" 0 0 0 0 0 0
"comp40904_seq0" 6 1 2 2 9 0
"comp6441_seq0" 71.72 80.59 94.11 64.96 83.52 81.92
"comp41700_seq0" 4 4 4 1 0 0
"comp35876_seq0" 2 0 0 1 3 1
"comp54012_seq0" 0 0 0 0 0 0
"comp35720_seq0" 1 0 0 0 0 0
"comp25662_seq0" 0 0 0 3 1 0
"comp3636_seq0" 214 150 228 253 237 397
"comp6015_seq0" 377 278 503 329 235 310
"comp1837_seq2" 260.08 645.39 173.54 201.99 186.94 757.07
"comp49408_seq0" 2 4 1 0 0 0
"comp10220_seq3" 25.9 6.82 6.89 29.68 7.49 16.22
"comp38310_seq0" 0 0 0 2 0 0
"comp55209_seq0" 0 0 0 0 2 0
"comp8720_seq0" 61 58 64 48 41 53
"comp8360_seq1" 97.35 57.42 74.33 65.55 82.28 68.74
"comp43617_seq0" 0 0 2 0 1 0
"comp58584_seq0" 0 0 0 0 0 1
"comp10524_seq0" 15 29 22 14 20 32
"comp46131_seq0" 0 0 0 1 0 0
"comp54306_seq0" 0 0 0 0 0 1
"comp14574_seq0" 4 8 12 4 10 4
"comp19227_seq0" 2 1.02 3.05 7.13 3.06 1.03
"comp20887_seq0" 18 22 12 14 18 20
"comp58459_seq0" 0 0 0 0 0 0
"comp23999_seq0" 0 3 4 4 3 12
"comp11453_seq0" 11 11 18 4 4 0
"comp46358_seq0" 0 0 0 0 3 0
"comp57520_seq0" 0 0 0 0 0 0
"comp43284_seq0" 0 2 2 1 0 0
"comp15318_seq0" 0 5 1 1 0 0
"comp4179_seq1" 181.44 166.22 177.94 86.83 139.43 126.21
"comp25798_seq0" 1 4 11 2 8 8
"comp5678_seq1" 214 132 226 235 312 330
"comp999_seq7" 43.7 134.43 65.31 57.18 87.25 62.19
"comp8069_seq0" 10 4 4 2 4 5
"comp5185_seq1" 51 49 48 40 61 70
"comp16365_seq1" 13 0 10 60 77 87
"comp28555_seq0" 1 2 0 2 1 3
"comp32335_seq0" 0 0 1 0 0 0
"comp1923_seq0" 26.33 68.59 9.6 30.36 52.1 40.49
"comp32045_seq0" 1 0 6 0 0 2
"comp24153_seq0" 0 5 0 0 1 0
"comp26397_seq0" 10 0 1 4 2 1
"comp47744_seq0" 0 0 0 4 1 0
"comp33_seq0" 69575 86319 94571 44063 50992 44993
"comp55897_seq0" 2 0 0 0 1 0
"comp35056_seq0" 5 4 4 1 4 2
"comp58105_seq0" 2 0 0 0 0 5
"comp16717_seq0" 37 3 30 19 29 30
"comp36842_seq0" 0 0 0 0 0 0
"comp27689_seq0" 8 7 2 8 51 9
"comp5664_seq0" 89.61 118.38 121.12 49.16 69.51 34.54
"comp45757_seq0" 0 1 1 0 0 0
"comp31451_seq0" 17.33 10 7.51 10.47 7.87 13.04
"comp22061_seq0" 2 7 3 2 24 7
"comp53521_seq0" 0 0 4 0 0 0
"comp54503_seq0" 1 0 0 0 0 0
"comp9180_seq0" 62.01 61.43 77.7 78 130 101.29
"comp20413_seq0" 5 1 0 0 0 4
"comp18728_seq0" 0 10 8 7 8 10
"comp50788_seq0" 0 0 0 0 0 3
"comp20947_seq0" 29 19 13 21 16 22
"comp2274_seq0" 259.48 240.89 237.97 269.32 241.65 189.92
"comp51315_seq0" 0 0 0 0 1 0
"comp37514_seq0" 0 0 2 2 0 1
"comp33498_seq0" 2 1 1 3 3 4
"comp53654_seq0" 0 0 0 0 0 2
"comp43633_seq0" 2 1 0 2 4 0
"comp44809_seq0" 0 0 2 1 0 0
"comp5275_seq2" 0 1 7.77 0 3.12 1.06
"comp57380_seq0" 2 3 0 0 0 3
"comp7023_seq0" 223 90 96 125 119 75
"comp19088_seq0" 23 20 22 33 32 14
"comp13177_seq4" 10.19 81.41 0 17.16 75.97 0
"comp45549_seq1" 0 0 1 1 2 0
"comp40064_seq0" 0 0 1 0 0 0
"comp9892_seq0" 98 98 75 70 100 101
"comp35157_seq0" 0 0 3 0 0 8
"comp53381_seq0" 1 0 1 0 0 3
"comp15246_seq0" 81 61 125 64 125 33
"comp37144_seq0" 0 0 0 6 4 0
"comp40815_seq0" 0 0 0 0 0 15
"comp36982_seq0" 1 0 1 0 0 3
"comp14039_seq0" 79 10 46 115 161 120
